iter	Passed	Remaining
0	12	12466
1	24	11989
2	36	12054
3	48	12012
4	60	12071
5	72	11985
6	84	11930
7	97	12051
8	110	12145
9	122	12169
10	135	12204
11	147	12176
12	160	12182
13	172	12174
14	186	12239
15	198	12208
16	210	12181
17	223	12193
18	236	12217
19	248	12193
20	260	12164
21	272	12115
22	284	12090
23	296	12047
24	307	12004
25	319	11974
26	331	11937
27	343	11915
28	355	11891
29	367	11890
30	379	11856
31	391	11831
32	402	11806
33	415	11798
34	427	11777
35	439	11755
36	450	11727
37	462	11705
38	474	11680
39	485	11647
40	497	11627
41	509	11617
42	520	11576
43	531	11554
44	543	11532
45	554	11506
46	566	11487
47	578	11469
48	589	11444
49	600	11418
50	612	11399
51	624	11391
52	636	11373
53	648	11353
54	659	11324
55	670	11308
56	682	11295
57	694	11278
58	706	11269
59	717	11238
60	729	11226
61	741	11214
62	753	11209
63	766	11203
64	777	11181
65	789	11166
66	800	11148
67	812	11132
68	824	11121
69	835	11102
70	847	11085
71	860	11084
72	872	11079
73	884	11071
74	897	11068
75	911	11087
76	925	11091
77	938	11099
78	951	11098
79	965	11097
80	978	11100
81	990	11090
82	1002	11080
83	1015	11071
84	1029	11077
85	1042	11078
86	1054	11070
87	1068	11072
88	1080	11062
89	1092	11048
90	1104	11029
91	1116	11015
92	1127	10992
93	1138	10977
94	1151	10967
95	1163	10958
96	1175	10942
97	1187	10930
98	1199	10914
99	1210	10893
100	1222	10882
101	1234	10864
102	1246	10856
103	1258	10845
104	1271	10836
105	1283	10821
106	1294	10803
107	1306	10793
108	1318	10777
109	1330	10765
110	1341	10745
111	1353	10728
112	1365	10716
113	1376	10694
114	1388	10682
115	1399	10664
116	1411	10649
117	1422	10631
118	1433	10615
119	1444	10592
120	1456	10579
121	1468	10569
122	1484	10585
123	1497	10577
124	1509	10563
125	1520	10545
126	1531	10526
127	1543	10512
128	1555	10500
129	1567	10491
130	1581	10491
131	1592	10474
132	1604	10461
133	1616	10446
134	1628	10432
135	1637	10405
136	1648	10384
137	1661	10377
138	1672	10359
139	1685	10352
140	1697	10341
141	1710	10337
142	1722	10320
143	1733	10303
144	1745	10289
145	1756	10274
146	1768	10262
147	1780	10250
148	1792	10240
149	1804	10226
150	1816	10211
151	1827	10193
